"Date","Price","Open","High","Low","Vol.","Change %"
"Feb 20, 2021","254.41","334.13","334.13","254.41","13.49M","-23.54%"
"Feb 19, 2021","332.73","196.29","332.73","196.29","20.19M","69.97%"
"Feb 18, 2021","195.76","166.18","197.15","165.96","11.23M","18.37%"
"Feb 17, 2021","165.38","129.83","170.58","128.37","10.18M","27.12%"
"Feb 16, 2021","130.10","129.48","131.31","128.07","3.26M","0.07%"
"Feb 15, 2021","130.00","135.86","135.86","121.19","4.77M","-4.40%"
"Feb 14, 2021","135.99","133.62","137.90","129.83","4.41M","2.18%"
"Feb 13, 2021","133.09","137.38","137.38","128.27","3.79M","-2.62%"
"Feb 12, 2021","136.67","124.42","136.67","122.92","5.63M","10.18%"
"Feb 11, 2021","124.04","129.30","129.30","120.24","5.92M","-3.62%"
"Feb 10, 2021","128.71","107.96","146.74","107.96","16.61M","19.61%"
"Feb 09, 2021","107.61","79.99","109.22","78.68","12.49M","34.97%"
"Feb 08, 2021","79.73","68.15","79.73","68.15","7.86M","16.56%"
"Feb 07, 2021","68.40","72.86","73.62","66.73","5.97M","-5.75%"
"Feb 06, 2021","72.57","67.46","74.81","64.97","8.48M","7.10%"
"Feb 05, 2021","67.76","56.15","68.26","56.15","5.04M","21.18%"
"Feb 04, 2021","55.92","52.24","56.89","52.24","4.00M","7.28%"
"Feb 03, 2021","52.12","50.91","52.30","50.22","2.95M","2.21%"
"Feb 02, 2021","50.99","51.34","52.26","49.95","4.67M","-0.81%"
"Feb 01, 2021","51.41","44.23","51.41","44.00","6.10M","15.98%"
"Jan 31, 2021","44.33","44.80","45.25","43.65","2.43M","-0.96%"
"Jan 30, 2021","44.76","42.89","45.01","42.89","2.77M","4.40%"
"Jan 29, 2021","42.87","42.49","43.98","42.40","3.44M","0.93%"
"Jan 28, 2021","42.48","40.71","42.69","40.71","2.98M","3.65%"
"Jan 27, 2021","40.98","41.84","41.84","40.57","2.65M","-1.77%"
"Jan 26, 2021","41.72","41.46","41.98","40.28","2.76M","-0.14%"
"Jan 25, 2021","41.78","41.86","43.05","41.34","2.77M","-0.12%"
"Jan 24, 2021","41.83","40.86","42.05","40.86","2.34M","2.22%"
"Jan 23, 2021","40.92","40.67","41.47","39.95","2.54M","0.12%"
"Jan 22, 2021","40.87","38.69","41.02","37.79","3.08M","5.61%"
"Jan 21, 2021","38.69","42.60","42.60","38.69","3.46M","-9.11%"
"Jan 20, 2021","42.57","42.54","42.63","41.01","3.71M","-0.11%"
"Jan 19, 2021","42.62","45.36","45.49","42.48","5.15M","-6.03%"
"Jan 18, 2021","45.36","46.13","46.45","44.21","3.07M","-1.20%"
"Jan 17, 2021","45.90","42.92","46.24","41.35","3.88M","6.51%"
"Jan 16, 2021","43.10","40.91","43.75","40.91","3.25M","5.33%"
"Jan 15, 2021","40.92","41.91","42.10","40.17","3.43M","-2.31%"
"Jan 14, 2021","41.88","40.09","41.88","39.94","3.31M","4.38%"
